,page,text,x1,y1,x2,y2,x3,y3,x4,y4,line_no,isHeader,isFooter
115,4,CIVIL & ADMINISTRATIVE TRIBUNAL,1.8529,1.4163,4.9599,1.4163,4.9599,1.5317,1.8529,1.5317,4.0,True,False
138,5,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
139,5,5,4.399,0.5223,4.4633,0.5223,4.4633,0.6345,4.399,0.6345,1.0,True,False
140,5,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
175,6,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
176,6,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
177,6,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
208,7,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
209,7,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
210,7,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
243,8,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
244,8,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
245,8,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
276,9,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
277,9,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
278,9,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
309,10,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
310,10,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
311,10,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
343,11,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
344,11,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
345,11,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
377,12,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
378,12,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
379,12,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
413,13,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
414,13,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
415,13,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
450,14,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
451,14,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
452,14,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
491,15,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
492,15,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
493,15,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
532,16,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
533,16,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
534,16,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
572,17,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
573,17,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
574,17,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
611,18,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
612,18,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
613,18,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
649,19,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
650,19,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
651,19,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
689,20,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
690,20,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
691,20,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
728,21,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
729,21,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
730,21,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
765,22,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
766,22,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
767,22,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
798,23,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
799,23,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
800,23,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
832,24,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
833,24,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
834,24,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
866,25,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
867,25,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
868,25,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
0,0,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
1,0,UstLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0672,1.3601,6.4271,0.6301,1.0,True,False
30,1,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
31,1,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
32,1,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
52,2,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
53,2,2,4.3945,0.52,4.4673,0.52,4.4673,0.6326,4.3945,0.6326,1.0,True,False
54,2,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
55,2,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
90,3,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
91,3,3,4.3978,0.52,4.4605,0.52,4.4605,0.6345,4.3978,0.6345,1.0,True,False
92,3,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
93,3,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
128,4,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
129,4,4,4.3936,0.52,4.4685,0.52,4.4685,0.6326,4.3936,0.6326,1.0,True,False
130,4,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
131,4,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
164,5,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
165,5,5,4.399,0.5223,4.4633,0.5223,4.4633,0.6345,4.399,0.6345,1.0,True,False
166,5,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
167,5,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
207,6,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
208,6,6,4.3981,0.52,4.4678,0.52,4.4678,0.6345,4.3981,0.6345,1.0,True,False
209,6,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
210,6,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
246,7,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
247,7,7,4.3971,0.5223,4.467,0.5223,4.467,0.6348,4.3971,0.6348,1.0,True,False
248,7,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
249,7,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
292,8,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
293,8,8,4.4011,0.52,4.4646,0.52,4.4646,0.6345,4.4011,0.6345,1.0,True,False
294,8,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
295,8,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
328,9,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
329,9,9,4.3976,0.52,4.4671,0.52,4.4671,0.6348,4.3976,0.6348,1.0,True,False
330,9,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
331,9,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
373,10,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
374,10,10,4.3688,0.52,4.51,0.52,4.51,0.6345,4.3688,0.6345,1.0,True,False
375,10,istLI AustLII AustLI,6.5238,0.38,8.1839,1.0634,8.0705,1.3568,6.4238,0.6334,2.0,True,False
376,10,AustLII AustLI,4.4236,1.0634,5.677,0.7467,5.7337,0.9701,4.4703,1.2635,3.0,True,False
415,11,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
416,11,11,4.3688,0.52,4.4956,0.52,4.4956,0.6326,4.3688,0.6326,1.0,True,False
417,11,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
418,11,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
0,0,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
1,0,UstLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0672,1.3601,6.4271,0.6301,1.0,True,False
42,1,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
43,1,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
44,1,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
55,2,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
56,2,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
57,2,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
58,2,AUSTRALIAN CAPITAL TERRITORY ),1.8476,1.0306,5.3055,1.0306,5.3055,1.1766,1.8476,1.1766,3.0,True,False
77,3,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
78,3,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,1.0,True,False
79,3,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,2.0,True,False
80,3,AUSTRALIAN CAPITAL TERRITORY ),1.8476,1.0306,5.3055,1.0306,5.3055,1.1766,1.8476,1.1766,3.0,True,False
99,4,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
100,4,3,4.3978,0.52,4.4605,0.52,4.4605,0.6345,4.3978,0.6345,1.0,True,False
101,4,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
102,4,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
136,5,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
137,5,4,4.3936,0.52,4.4685,0.52,4.4685,0.6326,4.3936,0.6326,1.0,True,False
138,5,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
139,5,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
172,6,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
173,6,5,4.399,0.5223,4.4633,0.5223,4.4633,0.6345,4.399,0.6345,1.0,True,False
174,6,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
175,6,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
207,7,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
208,7,6,4.3981,0.52,4.4678,0.52,4.4678,0.6345,4.3981,0.6345,1.0,True,False
209,7,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
246,8,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
247,8,7,4.3971,0.5223,4.467,0.5223,4.467,0.6348,4.3971,0.6348,1.0,True,False
248,8,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
249,8,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
286,9,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
287,9,8,4.4011,0.52,4.4646,0.52,4.4646,0.6345,4.4011,0.6345,1.0,True,False
288,9,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
289,9,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
328,10,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
329,10,9,4.3976,0.52,4.4671,0.52,4.4671,0.6348,4.3976,0.6348,1.0,True,False
330,10,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
331,10,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
367,11,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
368,11,10,4.3688,0.52,4.51,0.52,4.51,0.6345,4.3688,0.6345,1.0,True,False
369,11,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
370,11,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
408,12,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
409,12,11,4.3688,0.52,4.4956,0.52,4.4956,0.6326,4.3688,0.6326,1.0,True,False
410,12,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
411,12,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
445,13,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
446,13,12,4.3688,0.52,4.509,0.52,4.509,0.6326,4.3688,0.6326,1.0,True,False
447,13,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
448,13,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
484,14,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
485,14,13,4.3688,0.52,4.5021,0.52,4.5021,0.6345,4.3688,0.6345,1.0,True,False
486,14,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
487,14,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
522,15,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
523,15,14,4.3688,0.52,4.5101,0.52,4.5101,0.6326,4.3688,0.6326,1.0,True,False
524,15,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
525,15,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
560,16,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
561,16,15,4.3688,0.52,4.505,0.52,4.505,0.6345,4.3688,0.6345,1.0,True,False
562,16,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
563,16,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
599,17,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
600,17,16,4.3688,0.52,4.5095,0.52,4.5095,0.6345,4.3688,0.6345,1.0,True,False
601,17,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
602,17,AustLII AustLI,4.4303,1.0634,5.677,0.7434,5.7337,0.9668,4.477,1.2635,3.0,True,False
640,18,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
641,18,17,4.3688,0.52,4.5086,0.52,4.5086,0.6348,4.3688,0.6348,1.0,True,False
642,18,istLI AustLII AustLI,6.5271,0.3767,8.1839,1.0668,8.0705,1.3601,6.4238,0.6301,2.0,True,False
680,19,Signed by AustLII,0.2767,0.3334,1.2501,0.3234,1.2501,0.48,0.2767,0.49,0.0,True,False
